,extraversion,agreeableness,conscientiousness,openness,neuroticism
0,4.125,4.333333333333333,4.444444444444445,4.909090909090909,2.875
1,5.0,3.7777777777777777,2.888888888888889,4.545454545454546,1.875
2,4.375,3.6666666666666665,1.5555555555555556,5.0,1.75
3,5.0,4.0,3.5555555555555554,5.0,2.875
4,3.75,4.444444444444445,2.3333333333333335,4.454545454545454,1.25
5,2.0,3.4444444444444446,2.7777777777777777,4.181818181818182,3.75
6,4.625,2.888888888888889,1.8888888888888888,4.909090909090909,1.625
7,4.625,3.5555555555555554,3.7777777777777777,4.0,1.625
8,2.75,4.444444444444445,2.888888888888889,4.363636363636363,3.625
9,2.25,4.555555555555555,3.5555555555555554,2.6363636363636362,4.25
10,2.625,4.555555555555555,3.888888888888889,4.0,1.875
11,3.125,4.222222222222222,3.111111111111111,3.8181818181818183,3.5
12,3.75,3.888888888888889,4.111111111111111,4.363636363636363,2.625
13,4.5,3.7777777777777777,2.3333333333333335,4.636363636363637,1.875
14,4.75,4.0,3.2222222222222223,4.454545454545454,4.0
15,3.75,4.222222222222222,3.4444444444444446,4.7272727272727275,4.0
16,2.75,4.0,3.4444444444444446,4.363636363636363,4.75
17,4.0,3.5555555555555554,3.5555555555555554,4.636363636363637,2.625
18,4.875,5.0,4.666666666666667,4.636363636363637,4.0
19,1.875,3.6666666666666665,3.2222222222222223,3.8181818181818183,4.5
20,3.5,4.111111111111111,3.7777777777777777,4.2727272727272725,2.375
21,3.25,4.444444444444445,3.5555555555555554,4.181818181818182,2.875
22,4.625,4.0,4.111111111111111,3.6363636363636362,2.0
23,2.75,4.111111111111111,3.3333333333333335,3.6363636363636362,2.25
24,2.625,4.333333333333333,4.777777777777778,4.2727272727272725,2.0
25,2.25,4.555555555555555,3.5555555555555554,4.0,2.875
